Sample,Color,wl,spectra
1,Summersi_dors,631,35.94
1,Summersi_dors,632,35.965
1,Summersi_dors,633,35.9775
1,Summersi_dors,634,35.995
1,Summersi_dors,635,35.9975
1,Summersi_dors,636,36.0225
1,Summersi_dors,637,36.055
1,Summersi_dors,638,36.07
1,Summersi_dors,639,36.0425
1,Summersi_dors,640,36.03
1,Summersi_dors,641,36.0275
1,Summersi_dors,642,36.01
1,Summersi_dors,643,36.055
1,Summersi_dors,644,36.0775
1,Summersi_dors,645,36.075
1,Summersi_dors,646,36.0625
1,Summersi_dors,647,36.07
1,Summersi_dors,648,36.05
1,Summersi_dors,649,36.04
1,Summersi_dors,650,36.045
1,Summersi_dors,651,36.0575
1,Summersi_dors,652,36.1025
1,Summersi_dors,653,36.11
1,Summersi_dors,654,36.12
1,Summersi_dors,655,36.115
1,Summersi_dors,656,36.0825
1,Summersi_dors,657,36.105
1,Summersi_dors,658,36.1
1,Summersi_dors,659,36.095
1,Summersi_dors,660,36.0825
1,Summersi_dors,661,36.075
1,Summersi_dors,662,36.06
1,Summersi_dors,663,36.1125
1,Summersi_dors,664,36.16
1,Summersi_dors,665,36.17
1,Summersi_dors,666,36.205
1,Summersi_dors,667,36.175
1,Summersi_dors,668,36.1
1,Summersi_dors,669,36.0725
1,Summersi_dors,670,36.0075
1,Summersi_dors,671,35.9525
1,Summersi_dors,672,35.93
1,Summersi_dors,673,35.89
1,Summersi_dors,674,35.8975
1,Summersi_dors,675,35.955
1,Summersi_dors,676,35.9375
1,Summersi_dors,677,35.95
1,Summersi_dors,678,35.9875
1,Summersi_dors,679,36
1,Summersi_dors,680,36.0725
1,Summersi_dors,681,36.1275
1,Summersi_dors,682,36.125
1,Summersi_dors,683,36.125
1,Summersi_dors,684,36.1075
1,Summersi_dors,685,36.065
1,Summersi_dors,686,36.0825
1,Summersi_dors,687,36.115
1,Summersi_dors,688,36.1675
1,Summersi_dors,689,36.195
1,Summersi_dors,690,36.24
1,Summersi_dors,691,36.265
1,Summersi_dors,692,36.2475
1,Summersi_dors,693,36.285
1,Summersi_dors,694,36.23
1,Summersi_dors,695,36.225
1,Summersi_dors,696,36.225
1,Summersi_dors,697,36.195
1,Summersi_dors,698,36.19
1,Summersi_dors,699,36.1775
1,Summersi_dors,700,36.14
1,Summersi_dors,701,36.14
1,Summersi_dors,702,36.24
1,Summersi_dors,703,36.18
1,Summersi_dors,704,36.1225
1,Summersi_dors,705,36.05
1,Summersi_dors,706,35.9625
1,Summersi_dors,707,36.0625
1,Summersi_dors,708,36.17
1,Summersi_dors,709,36.1625
1,Summersi_dors,710,36.1675
1,Summersi_dors,711,36.0775
1,Summersi_dors,712,35.9925
1,Summersi_dors,713,35.9375
1,Summersi_dors,714,36.005
1,Summersi_dors,715,36.0175
1,Summersi_dors,716,35.9825
1,Summersi_dors,717,35.865
1,Summersi_dors,718,35.8525
1,Summersi_dors,719,35.72
1,Summersi_dors,720,35.6275
1,Summersi_dors,721,35.52
1,Summersi_dors,722,35.33
1,Summersi_dors,723,35.05
1,Summersi_dors,724,34.8775
1,Summersi_dors,725,34.775
1,Summersi_dors,726,34.615
1,Summersi_dors,727,34.56
1,Summersi_dors,728,34.515
1,Summersi_dors,729,34.4875
1,Summersi_dors,730,34.47
1,Summersi_dors,731,34.29
1,Summersi_dors,732,34.1825
1,Summersi_dors,733,33.9975
1,Summersi_dors,734,33.7975
1,Summersi_dors,735,33.6975
1,Summersi_dors,736,33.515
1,Summersi_dors,737,33.23
1,Summersi_dors,738,33.205
1,Summersi_dors,739,33.0225
1,Summersi_dors,740,32.96
1,Summersi_dors,741,32.905
1,Summersi_dors,742,32.765
1,Summersi_dors,743,32.685
1,Summersi_dors,744,32.6725
1,Summersi_dors,745,32.7025
1,Summersi_dors,746,32.675
1,Summersi_dors,747,32.6375
1,Summersi_dors,748,32.41
1,Summersi_dors,749,32.285
1,Summersi_dors,750,32.185
1,Summersi_dors,751,32.1275
1,Summersi_dors,752,32.275
1,Summersi_dors,753,32.2925
1,Summersi_dors,754,32.3075
1,Summersi_dors,755,32.0275
1,Summersi_dors,756,31.83
1,Summersi_dors,757,31.7325
1,Summersi_dors,758,31.5325
1,Summersi_dors,759,31.47
1,Summersi_dors,760,31.4425
1,Summersi_dors,761,31.2325
1,Summersi_dors,762,31.0975
1,Summersi_dors,763,31.09
1,Summersi_dors,764,30.9675
1,Summersi_dors,765,30.91
1,Summersi_dors,766,30.8875
1,Summersi_dors,767,30.7075
1,Summersi_dors,768,30.5025
1,Summersi_dors,769,30.46
1,Summersi_dors,770,30.4325
1,Summersi_dors,771,30.4025
1,Summersi_dors,772,30.65
1,Summersi_dors,773,30.5675
1,Summersi_dors,774,30.465
1,Summersi_dors,775,30.4325
1,Summersi_dors,776,30.2325
1,Summersi_dors,777,30.025
1,Summersi_dors,778,29.9025
1,Summersi_dors,779,29.7225
1,Summersi_dors,780,29.5525
1,Summersi_dors,781,29.4325
1,Summersi_dors,782,29.295
1,Summersi_dors,783,29.25
1,Summersi_dors,784,29.2275
1,Summersi_dors,785,29.225
1,Summersi_dors,786,29.1925
1,Summersi_dors,787,29.2
1,Summersi_dors,788,29.085
1,Summersi_dors,789,28.965
1,Summersi_dors,790,28.9025
1,Summersi_dors,791,28.7825
1,Summersi_dors,792,28.6575
