Sample,Color,Width
1,Summersi_dors,95.61384969
1,Summersi_dors,93.13042733
1,Summersi_dors,95.48666832
1,Summersi_dors,77.81594907
1,Summersi_dors,113.3587155
1,Summersi_dors,100.0848373
1,Summersi_dors,96.26527826
1,Summersi_dors,126.9271043
1,Summersi_dors,96.96605217
1,Summersi_dors,106.7329453
1,Summersi_dors,112.5595416
1,Summersi_dors,119.0506807
1,Summersi_dors,108.0745342
1,Summersi_dors,90.75127081
1,Summersi_dors,111.8167677
1,Summersi_dors,88.34735031
1,Summersi_dors,86.03773789
1,Summersi_dors,102.077113
1,Summersi_dors,94.88479752
1,Summersi_dors,117.6867019
1,Summersi_dors,108.1708733
1,Summersi_dors,92.51322857
1,Summersi_dors,101.3774199
1,Summersi_dors,94.22382857
1,Summersi_dors,103.8140758
1,Summersi_dors,107.5108435
1,Summersi_dors,105.4072211
1,Summersi_dors,124.9975901
1,Summersi_dors,90.6747205
1,Summersi_dors,97.18065839
1,Summersi_dors,66.66538137
1,Summersi_dors,143.3693217
1,Summersi_dors,96.67917019
1,Summersi_dors,112.3588584
1,Summersi_dors,77.54777143
1,Summersi_dors,125.2196087
1,Summersi_dors,138.4912099
1,Summersi_dors,122.2451143
1,Summersi_dors,136.0120807
1,Summersi_dors,145.7709839
1,Summersi_dors,121.2183056
1,Summersi_dors,152.0661317
1,Summersi_dors,111.8633366
1,Summersi_dors,98.6698323
1,Summersi_dors,87.24
1,Summersi_dors,147.6641963
1,Summersi_dors,96.67917019
1,Summersi_dors,132.3374981
1,Summersi_dors,123.0378186
1,Summersi_dors,103.3447789
1,Summersi_dors,100.3446857
1,Summersi_dors,124.9420211
1,Summersi_dors,119.7775789
1,Summersi_dors,155.7211118
1,Summersi_dors,118.4366348
1,Summersi_dors,108.6512758
1,Summersi_dors,96.67917019
1,Summersi_dors,101.7875814
1,Summersi_dors,102.5352783
1,Summersi_dors,120.4136236
1,Summersi_dors,108.6512758
1,Summersi_dors,116.0676634
1,Summersi_dors,91.36137019
1,Summersi_dors,116.7239255
1,Summersi_dors,141.4186286
1,Summersi_dors,117.8488584
1,Summersi_dors,108.6512758
1,Summersi_dors,95.01278758
1,Summersi_dors,112.1113714
1,Summersi_dors,138.3407031
